chapter,code,description
22,2208307100-71-00,2 litres or less
22,2208307200-72-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208307900-79-00,More than 2 litres
22,2208308*00-8*-00,2 litres or less
22,2208308200-82-00,2 litres or less
22,2208308300-83-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208308800-88-00,More than 2 litres
22,220840**00-**-00,Rum with a content of volatile substances other than ethyl and methyl alcohol equal to or exceeding 225 grams per hectolitre of pure alcohol (with a 10 % tolerance)
22,2208401*00-1*-00,Rum with a content of volatile substances other than ethyl and methyl alcohol equal to or exceeding 225 grams per hectolitre of pure alcohol (with a 10 % tolerance)
22,2208401100-11-00,Rum with a content of volatile substances other than ethyl and methyl alcohol equal to or exceeding 225 grams per hectolitre of pure alcohol (with a 10 % tolerance)
22,2208403*00-3*-00,"Of a value exceeding œ 7,9 per litre of pure alcohol"
22,2208403100-31-00,"Of a value exceeding œ 7,9 per litre of pure alcohol"
22,2208403200-32-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208403900-39-00,Other
22,2208405*00-5*-00,Rum with a content of volatile substances other than ethyl and methyl alcohol equal to or exceeding 225 grams per hectolitre of pure alcohol (with a 10 % tolerance)
22,2208405100-51-00,Rum with a content of volatile substances other than ethyl and methyl alcohol equal to or exceeding 225 grams per hectolitre of pure alcohol (with a 10 % tolerance)
22,2208409*00-9*-00,Of a value exceeding œ 2 per litre of pure alcohol
22,2208409100-91-00,Of a value exceeding œ 2 per litre of pure alcohol
22,2208409900-99-00,Other
22,220850**00-**-00,2 litres or less
22,2208501*00-1*-00,2 litres or less
22,2208501100-11-00,2 litres or less
22,2208501200-12-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208501900-19-00,More than 2 litres
22,2208509*00-9*-00,2 litres or less
22,2208509100-91-00,2 litres or less
22,2208509200-92-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208509900-99-00,More than 2 litres
22,220860**00-**-00,2 litres or less
22,2208601*00-1*-00,2 litres or less
22,2208601100-11-00,2 litres or less
22,2208601200-12-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208601900-19-00,More than 2 litres
22,2208609*00-9*-00,2 litres or less
22,2208609100-91-00,2 litres or less
22,2208609200-92-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208609900-99-00,More than 2 litres
22,220870**00-**-00,In containers holding 2 litres or less
22,2208701000-10-00,In containers holding 2 litres or less
22,2208702000-20-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208709000-90-00,In containers holding more than 2 litres
22,220890**00-**-00,2 litres or less
22,2208901*00-1*-00,2 litres or less
22,2208901100-11-00,2 litres or less
22,2208901900-19-00,More than 2 litres
22,2208903*00-3*-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208903300-33-00,2 litres or less
22,2208903400-34-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208903800-38-00,More than 2 litres
22,2208904*00-4*-00,Ouzo
22,2208904100-41-00,Ouzo
22,2208904500-45-00,Calvados
22,2208904600-46-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208904800-48-00,Other
22,2208905*00-5*-00,Tequila
22,2208905400-54-00,Tequila
22,2208905500-55-00,Bottled mixtures of beverages of an alcoholic strength by volume not exceeding 15%
22,2208905600-56-00,Other
22,2208906*00-6*-00,Other spirituous beverages
22,2208906900-69-00,Other spirituous beverages
22,2208907*00-7*-00,Distilled from fruit
22,2208907100-71-00,Distilled from fruit
22,2208907500-75-00,Tequila
22,2208907700-77-00,Other
22,2208907800-78-00,Other spirituous beverages
22,2208909*00-9*-00,2 litres or less
22,2208909100-91-00,2 litres or less
22,2208909900-99-00,More than 2 litres
22,220900**00-**-00,2 litres or less
22,2209001*00-1*-00,2 litres or less
22,2209001100-11-00,2 litres or less
22,2209001900-19-00,More than 2 litres
22,2209009*00-9*-00,2 litres or less
22,2209009100-91-00,2 litres or less
22,2209009900-99-00,More than 2 litres
23,2301100000-00-00,"Flours, meals and pellets, of meat or meat offal; greaves"
23,2301200000-00-00,"Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates"
23,230210**00-**-00,With a starch content not exceeding 35 % by weight
23,2302101000-10-00,With a starch content not exceeding 35 % by weight
23,2302109000-90-00,Other
23,230230**00-**-00,"Of which the starch content does not exceed 28 % by weight, and of which the proportion that passes through a sieve with an aperture of 0,2 mm does not exceed 10 % by weight or alternatively the proportion that passes through the sieve has an ash content, calculated on the dry product, equal to or more than 1,5 % by weight"
23,2302301000-10-00,"Of which the starch content does not exceed 28 % by weight, and of which the proportion that passes through a sieve with an aperture of 0,2 mm does not exceed 10 % by weight or alternatively the proportion that passes through the sieve has an ash content, calculated on the dry product, equal to or more than 1,5 % by weight"
23,2302309000-90-00,Other
23,230240**00-**-00,With a starch content not exceeding 35 % by weight
23,2302400200-02-00,With a starch content not exceeding 35 % by weight
23,2302400800-08-00,Other
23,2302401000-10-00,"Of which the starch content does not exceed 28 % by weight, and of which the proportion that passes through a sieve with an aperture of 0,2 mm does not exceed 10 % by weight or alternatively the proportion that passes through the sieve has an ash content, calculated on the dry product, equal to or more than 1,5 % by weight"
23,2302409000-90-00,Other
23,2302500000-00-00,Of leguminous plants
23,230310**00-**-00,Exceeding 40 % by weight
23,2303101*00-1*-00,Exceeding 40 % by weight
23,2303101100-11-00,Exceeding 40 % by weight
23,2303101900-19-00,Not exceeding 40 % by weight
23,2303109000-90-00,Other
23,230320**00-**-00,Beet-pulp
23,2303201000-10-00,Beet-pulp
23,2303209000-90-00,Other
23,2303300000-00-00,Brewing or distilling dregs and waste
23,2304000000-00-00,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil"
23,2305000000-00-00,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
23,2306100000-00-00,Of cotton seeds
23,2306200000-00-00,Of linseed
23,2306300000-00-00,Of sunflower seeds
23,2306410000-00-00,Of low erucic acid rape or colza seeds
23,2306490000-00-00,Other
23,2306500000-00-00,Of coconut or copra
23,2306600000-00-00,Of palm nuts or kernels
23,230690**00-**-00,Of maize (corn) germ
23,2306900500-05-00,Of maize (corn) germ
23,2306901*00-1*-00,Containing 3 % or less by weight of olive oil
23,2306901100-11-00,Containing 3 % or less by weight of olive oil
23,2306901900-19-00,Containing more than 3 % by weight of olive oil
23,2306909000-90-00,Other
23,230700**00-**-00,"Having a total alcoholic strength by mass not exceeding 7,9 % mas and a dry matter content not less than 25 % by weight"
23,2307001*00-1*-00,"Having a total alcoholic strength by mass not exceeding 7,9 % mas and a dry matter content not less than 25 % by weight"
23,2307001100-11-00,"Having a total alcoholic strength by mass not exceeding 7,9 % mas and a dry matter content not less than 25 % by weight"
23,2307001900-19-00,Other
23,2307009000-90-00,Argol
23,230800**00-**-00,"Having a total alcoholic strength by mass not exceeding 4,3 % mas and a dry matter content not less than 40 % by weight"
23,2308001*00-1*-00,"Having a total alcoholic strength by mass not exceeding 4,3 % mas and a dry matter content not less than 40 % by weight"
23,2308001100-11-00,"Having a total alcoholic strength by mass not exceeding 4,3 % mas and a dry matter content not less than 40 % by weight"
23,2308001900-19-00,Other
23,2308004000-40-00,"Acorns and horse-chestnuts; pomace or marc of fruit, other than grapes"
23,2308009000-90-00,Other
23,230910**00-**-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309101*00-1*-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309101100-11-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309101300-13-00,Containing not less than 10 % but less than 50 % by weight of milk products
23,2309101500-15-00,Containing not less than 50 % but less than 75 % by weight of milk products
23,2309101900-19-00,Containing not less than 75 % by weight of milk products
23,2309103*00-3*-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309103100-31-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309103300-33-00,Containing not less than 10 % but less than 50 % by weight of milk products
23,2309103900-39-00,Containing not less than 50 % by weight of milk products
23,2309105*00-5*-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309105100-51-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309105300-53-00,Containing not less than 10 % but less than 50 % by weight of milk products
23,2309105900-59-00,Containing not less than 50 % by weight of milk products
23,2309107000-70-00,"Containing no starch, glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing milk products"
23,2309109000-90-00,Other
23,230990**00-**-00,Fish or marine mammal solubles
23,2309901000-10-00,Fish or marine mammal solubles
23,2309902000-20-00,Products referred to in additional note 5 to this chapter
23,2309903*00-3*-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309903100-31-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309903300-33-00,Containing not less than 10 % but less than 50 % by weight of milk products
23,2309903500-35-00,Containing not less than 50 % but less than 75 % by weight of milk products
23,2309903900-39-00,Containing not less than 75 % by weight of milk products
23,2309904*00-4*-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309904100-41-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309904300-43-00,Containing not less than 10 % but less than 50 % by weight of milk products
23,2309904900-49-00,Containing not less than 50 % by weight of milk products
23,2309905*00-5*-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309905100-51-00,Containing no milk products or containing less than 10 % by weight of such products
23,2309905300-53-00,Containing not less than 10 % but less than 50 % by weight of milk products
23,2309905900-59-00,Containing not less than 50 % by weight of milk products
23,2309907000-70-00,"Containing no starch, glucose, glucose syrup, maltodextrine or maltodextrine syrup but containing milk products"
23,2309909*00-9*-00,Beet-pulp with added molasses
23,2309909100-91-00,Beet-pulp with added molasses
23,2309909600-96-00,Other
24,240110**00-**-00,Light air-cured tobacco
24,2401103*00-3*-00,Light air-cured tobacco
24,2401103500-35-00,Light air-cured tobacco
24,2401106000-60-00,Sun-cured Oriental type tobacco
24,2401107000-70-00,Dark air-cured tobacco
24,2401108*00-8*-00,Flue-cured tobacco
24,2401108500-85-00,Flue-cured tobacco
24,2401109*00-9*-00,Other
24,2401109500-95-00,Other
24,240120**00-**-00,Light air-cured tobacco
24,2401203*00-3*-00,Light air-cured tobacco
24,2401203500-35-00,Light air-cured tobacco
24,2401206000-60-00,Sun-cured Oriental type tobacco
24,2401207000-70-00,Dark air-cured tobacco
24,2401208*00-8*-00,Flue-cured tobacco
24,2401208500-85-00,Flue-cured tobacco
24,2401209*00-9*-00,Other
24,2401209500-95-00,Other
24,2401300000-00-00,Tobacco refuse
24,2402100000-00-00,"Cigars, cheroots and cigarillos, containing tobacco"
24,240220**00-**-00,Containing cloves
24,2402201000-10-00,Containing cloves
24,2402209000-90-00,Other
24,2402900000-00-00,Other
24,2403110000-00-00,Water-pipe tobacco specified in subheading note 1 to this chapter
24,240319**00-**-00,In immediate packings of a net content not exceeding 500 g
24,2403191000-10-00,In immediate packings of a net content not exceeding 500 g
24,2403199000-90-00,Other
24,2403910000-00-00,Homogenised  or  reconstituted  tobacco
24,240399**00-**-00,Chewing tobacco and snuff
24,2403991000-10-00,Chewing tobacco and snuff
24,2403999*00-9*-00,Smokeless Heated Tobacco Products
24,2403999100-91-00,Smokeless Heated Tobacco Products
24,2403999900-99-00,Other
24,240411**00-**-00,Containing reconstituted tobacco
24,2404111000-10-00,Containing reconstituted tobacco
24,2404119000-90-00,Other
24,240412**00-**-00,"Cartridges and refills, filled,for electronic cigarettes,preparations for use in cartridges and refills for electronic cigarettes"
24,2404121000-10-00,"Cartridges and refills, filled,for electronic cigarettes,preparations for use in cartridges and refills for electronic cigarettes"
24,2404129000-90-00,Other
24,240419**00-**-00,Containing tobacco substitutes
24,2404191000-10-00,Containing tobacco substitutes
24,2404199000-90-00,Other
24,240491**00-**-00,Nicotine containing products intended to assist tobacco use cessation
24,2404911000-10-00,Nicotine containing products intended to assist tobacco use cessation
24,2404919000-90-00,Other
24,240492**00-**-00,Other
24,2404921000-10-00,Other
24,240499**00-**-00,Other
24,2404991000-10-00,Other
25,250100**00-**-00,Sea water and salt liquors
25,2501001000-10-00,Sea water and salt liquors
25,2501003*00-3*-00,For chemical transformation (separation of Na from Cl) for the manufacture of other products
25,2501003100-31-00,For chemical transformation (separation of Na from Cl) for the manufacture of other products
25,2501005*00-5*-00,Denatured or for industrial uses (including refining) other than the preservation or preparation of foodstuffs for human or animal consumption
25,2501005100-51-00,Denatured or for industrial uses (including refining) other than the preservation or preparation of foodstuffs for human or animal consumption
25,2501009*00-9*-00,Salt suitable for human consumption
25,2501009100-91-00,Salt suitable for human consumption
25,2501009900-99-00,Other
25,2502000000-00-00,Unroasted iron pyrites
25,250300**00-**-00,Crude or unrefined sulphur
25,2503001000-10-00,Crude or unrefined sulphur
25,2503009000-90-00,Other
25,2504100000-00-00,In powder or in flakes
25,2504900000-00-00,Other
25,2505100000-00-00,Silica sands and quartz sands
25,2505900000-00-00,Other
25,2506100000-00-00,Quartz
25,2506200000-00-00,Quartzite
25,250700**00-**-00,Kaolin
25,2507002000-20-00,Kaolin
25,2507008000-80-00,Other kaolinic clays
25,2508100000-00-00,Bentonite
25,2508300000-00-00,Fireclay
25,2508400000-00-00,Other clays
25,2508500000-00-00,"Andalusite, kyanite and sillimanite"
25,2508600000-00-00,Mullite
25,2508700000-00-00,Chamotte or dinas earths
25,2509000000-00-00,Chalk
25,2510100000-00-00,Unground
25,2510200000-00-00,Ground
25,2511100000-00-00,Natural barium sulphate (barytes)
25,2511200000-00-00,Natural barium carbonate (witherite)
25,2512000000-00-00,"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less"
25,2513100000-00-00,Pumice stone
25,2513200000-00-00,"Emery, natural corundum, natural garnet and other natural abrasives"
25,2514000000-00-00,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape"
25,2515110000-00-00,Crude or roughly trimmed
25,2515120000-00-00,"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape"
25,2515200000-00-00,Ecaussine and other calcareous monumental or building stone; alabaster
25,2516110000-00-00,Crude or roughly trimmed
25,2516120000-00-00,"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape"
25,2516200000-00-00,Sandstone
25,2516900000-00-00,Other monumental or building stone
25,251710**00-**-00,"Pebbles, gravel, shingle and flint"
25,2517101000-10-00,"Pebbles, gravel, shingle and flint"
25,2517102000-20-00,"Limestone, dolomite and other calcareous stone, broken or crushed"
25,2517108000-80-00,Other
25,2517200000-00-00,"Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 251710"
25,2517300000-00-00,Tarred macadam
25,2517410000-00-00,Of marble
25,2517490000-00-00,Other
25,2518100000-00-00,"Dolomite, not calcined or sintered"
25,2518200000-00-00,Calcined or sintered dolomite
25,2518300000-00-00,Dolomite ramming mix
25,2519100000-00-00,Natural magnesium carbonate (magnesite)
25,251990**00-**-00,"Magnesium oxide, other than calcined natural magnesium carbonate"
25,2519901000-10-00,"Magnesium oxide, other than calcined natural magnesium carbonate"
25,2519903000-30-00,Dead-burned (sintered) magnesia
25,2519909000-90-00,Other
25,2520100000-00-00,Gypsum; anhydrite
25,2520200000-00-00,Plasters
25,2521000000-00-00,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
25,2522100000-00-00,Quicklime
25,2522200000-00-00,Slaked lime
25,2522300000-00-00,Hydraulic lime
25,2523100000-00-00,Cement clinkers
25,2523210000-00-00,"White cement, whether or not artificially coloured"
25,2523290000-00-00,Other
25,2523300000-00-00,Aluminous cement
25,2523900000-00-00,Other hydraulic cements
25,2524100000-00-00,Crocidolite
25,2524900000-00-00,Other
25,2525100000-00-00,Crude mica and mica rifted into sheets or splittings
25,2525200000-00-00,Mica powder
25,2525300000-00-00,Mica waste
25,2526100000-00-00,"Not crushed, not powdered"
25,2526200000-00-00,Crushed or powdered
25,2528000000-00-00,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight"
25,2529100000-00-00,Feldspar
25,2529210000-00-00,Containing by weight 97 % or less of calcium fluoride
25,2529220000-00-00,Containing by weight more than 97 % of calcium fluoride
25,2529300000-00-00,Leucite; nepheline and nepheline syenite
25,2530100000-00-00,"Vermiculite, perlite and chlorites, unexpanded"
25,2530200000-00-00,"Kieserite, epsomite (natural magnesium sulphates)"
25,2530900000-00-00,Other
26,2601110000-00-00,Non-agglomerated
26,2601120000-00-00,Agglomerated
26,2601200000-00-00,Roasted iron pyrites
26,2602000000-00-00,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight"
26,2603000000-00-00,Copper ores and concentrates
26,2604000000-00-00,Nickel ores and concentrates
26,2605000000-00-00,Cobalt ores and concentrates
26,2606000000-00-00,Aluminium ores and concentrates
26,2607000000-00-00,Lead ores and concentrates
26,2608000000-00-00,Zinc ores and concentrates
26,2609000000-00-00,Tin ores and concentrates
26,2610000000-00-00,Chromium ores and concentrates
26,2611000000-00-00,Tungsten ores and concentrates
26,261210**00-**-00,"Uranium ores and pitchblende, and concentrates thereof, with a uranium content of more than 5 % by weight (Euratom)"
26,2612101000-10-00,"Uranium ores and pitchblende, and concentrates thereof, with a uranium content of more than 5 % by weight (Euratom)"
26,2612109000-90-00,Other
26,261220**00-**-00,"Monazite; urano-thorianite and other thorium ores and concentrates, with a thorium content of more than 20 % by weight (Euratom)"
26,2612201000-10-00,"Monazite; urano-thorianite and other thorium ores and concentrates, with a thorium content of more than 20 % by weight (Euratom)"
26,2612209000-90-00,Other
26,2613100000-00-00,Roasted
26,2613900000-00-00,Other
26,2614000000-00-00,Titanium ores and concentrates
26,2615100000-00-00,Zirconium ores and concentrates
26,2615900000-00-00,Other
26,2616100000-00-00,Silver ores and concentrates
26,2616900000-00-00,Other
26,2617100000-00-00,Antimony ores and concentrates
26,2617900000-00-00,Other
26,2618000000-00-00,Granulated slag (slag sand) from the manufacture of iron or steel
26,261900**00-**-00,Waste suitable for the recovery of iron or manganese
26,2619002000-20-00,Waste suitable for the recovery of iron or manganese
26,2619009000-90-00,Other
26,2620110000-00-00,Hard zinc spelter
26,2620190000-00-00,Other
26,2620210000-00-00,Leaded gasoline sludges and leaded anti-knock compound sludges
26,2620290000-00-00,Other
26,2620300000-00-00,Containing mainly copper
26,2620400000-00-00,Containing mainly aluminium
26,2620600000-00-00,"Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds"
26,2620910000-00-00,"Containing antimony, beryllium, cadmium, chromium or their mixtures"
26,262099**00-**-00,Containing mainly nickel
26,2620991000-10-00,Containing mainly nickel
26,2620992000-20-00,Containing mainly niobium or tantalum
26,2620994000-40-00,Containing mainly tin
26,2620996000-60-00,Containing mainly titanium
26,2620999*00-9*-00,Other
26,2620999500-95-00,Other
26,2621100000-00-00,Ash and residues from the incineration of municipal waste
26,2621900000-00-00,Other
27,2701110000-00-00,Anthracite
27,270112**00-**-00,Coking coal
27,2701121000-10-00,Coking coal
27,2701129000-90-00,Other
27,2701190000-00-00,Other coal
27,2701200000-00-00,"Briquettes, ovoids and similar solid fuels manufactured from coal"
27,2702100000-00-00,"Lignite, whether or not pulverised, but not agglomerated"
27,2702200000-00-00,Agglomerated lignite
27,2703000000-00-00,"Peat (including peat litter), whether or not agglomerated"
27,270400**00-**-00,Coke and semi-coke of coal
27,2704001000-10-00,Coke and semi-coke of coal
27,2704003000-30-00,Coke and semi-coke of lignite
27,2704009000-90-00,Other
27,2705000000-00-00,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons"
27,2706000000-00-00,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars"
27,2707100000-00-00,Benzol (benzene)
27,2707200000-00-00,Toluol (toluene)
27,2707300000-00-00,Xylol (xylenes)
27,2707400000-00-00,Naphthalene
27,2707500000-00-00,Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 øC by the ISO 3405 method (equivalent to the ASTM D 86 method)
27,2707910000-00-00,Creosote oils
27,270799**00-**-00,Crude light oils of which 90 % or more by volume distils at temperatures of up to 200 øC
27,2707991*00-1*-00,Crude light oils of which 90 % or more by volume distils at temperatures of up to 200 øC
27,2707991100-11-00,Crude light oils of which 90 % or more by volume distils at temperatures of up to 200 øC
27,2707991900-19-00,Other
27,2707992000-20-00,Sulphuretted toppings; anthracene
27,2707995000-50-00,Basic products
27,2707998000-80-00,Phenols
27,2707999*00-9*-00,For the manufacture of the products of heading 2803
27,2707999100-91-00,For the manufacture of the products of heading 2803
27,2707999900-99-00,Other
27,2708100000-00-00,Pitch
27,2708200000-00-00,Pitch coke
27,270900**00-**-00,Natural gas condensates
27,2709001000-10-00,Natural gas condensates
27,2709009000-90-00,Other
27,271012**00-**-00,For undergoing a specific process
27,2710121*00-1*-00,For undergoing a specific process
27,2710121100-11-00,For undergoing a specific process
27,2710121500-15-00,For undergoing chemical transformation by a process other than those specified in respect of subheading 27101211
27,2710122*00-2*-00,White spirit
27,2710122100-21-00,White spirit
27,2710122500-25-00,Other
27,2710123*00-3*-00,Aviation spirit
27,2710123100-31-00,Aviation spirit
27,2710124*00-4*-00,With an octane number (RON) of less than 95
27,2710124100-41-00,With an octane number (RON) of less than 95
27,2710124500-45-00,With an octane number (RON) of 95 or more but less than 98
27,2710124900-49-00,With an octane number (RON) of 98 or more
27,2710125*00-5*-00,With an octane number (RON) of less than 98
27,2710125100-51-00,With an octane number (RON) of less than 98
27,2710125900-59-00,With an octane number (RON) of 98 or more
27,2710127000-70-00,Spirit type jet fuel
27,2710129000-90-00,Other light oils
27,271019**00-**-00,For undergoing a specific process
27,2710191*00-1*-00,For undergoing a specific process
27,2710191100-11-00,For undergoing a specific process
27,2710191500-15-00,For undergoing chemical transformation by a process other than those specified in respect of subheading 27101911
27,2710192*00-2*-00,Jet fuel
27,2710192100-21-00,Jet fuel
27,2710192500-25-00,Other
27,2710192900-29-00,Other
27,2710193*00-3*-00,For undergoing a specific process
27,2710193100-31-00,For undergoing a specific process
27,2710193500-35-00,For undergoing chemical transformation by a process other than those specified in respect of subheading 27101931
27,2710194*00-4*-00,"With a sulphur content not exceeding 0,001 % by weight (Automotive Gasoil)"
27,2710194300-43-00,"With a sulphur content not exceeding 0,001 % by weight (Automotive Gasoil)"
27,2710194310-43-10,Biodiesel (HVO)
27,2710194500-45-00,"With a sulphur content not exceeding 0,001 % by weight, with a cetane content 55 or over (Premium Automotive Gasoil and similar products)"
27,2710194600-46-00,"With a sulphur content exceeding 0,001 % by weight but not exceeding 0,002 % by weight"
27,2710194700-47-00,"With a sulphur content exceeding 0,002 % by weight but not exceeding 0,1 % by weight"
27,2710194800-48-00,"With a sulphur content exceeding 0,1 % by weight"
27,2710195*00-5*-00,For undergoing a specific process
27,2710195100-51-00,For undergoing a specific process
27,2710195500-55-00,For undergoing chemical transformation by a process other than those specified in respect of subheading 27101951
27,2710196*00-6*-00,"With a sulphur content not exceeding 0,1 % by weight"
27,2710196200-62-00,"With a sulphur content not exceeding 0,1 % by weight"
27,2710196400-64-00,"With a sulphur content exceeding 0,1 % by weight but not exceeding 1 % by weight"
27,2710196800-68-00,With a sulphur content exceeding 1 % by weight
27,2710197*00-7*-00,For undergoing a specific process
27,2710197100-71-00,For undergoing a specific process
27,2710197500-75-00,For undergoing chemical transformation by a process other than those specified in respect of subheading 27101971
27,2710198*00-8*-00,"Motor oils, compressor lube oils, turbine lube oils"
27,2710198100-81-00,"Motor oils, compressor lube oils, turbine lube oils"
27,2710198300-83-00,Hydraulic oils
27,2710198500-85-00,"White oils, liquid paraffin"
27,2710198700-87-00,Gear oils and reductor oils
27,2710199*00-9*-00,"Metal-working compounds, mould-release oils, anti-corrosion oils"
27,2710199100-91-00,"Metal-working compounds, mould-release oils, anti-corrosion oils"
27,2710199300-93-00,Electrical insulating oils
27,2710199900-99-00,Other lubricating oils and other oils
27,271020**00-**-00,"With a sulphur content not exceeding 0,001 % by weight (Automotive Gasoil)"
27,2710201*00-1*-00,"With a sulphur content not exceeding 0,001 % by weight (Automotive Gasoil)"
27,2710201100-11-00,"With a sulphur content not exceeding 0,001 % by weight (Automotive Gasoil)"
27,2710201400-14-00,"With a sulphur content not exceeding 0,001 % by weight, with a cetane content 55 or over (Premium Automotive Gasoil and similar products)"
27,2710201500-15-00,"With a sulphur content exceeding 0,001 % by weight but not exceeding 0,002 % by weight"
27,2710201700-17-00,"With a sulphur content exceeding 0,002 % by weight but not exceeding 0,1 % by weight"
27,2710201900-19-00,"With a sulphur content exceeding 0,1 % by weight"
27,2710203*00-3*-00,"With a sulphur content not exceeding 0,1 % by weight"
27,2710203100-31-00,"With a sulphur content not exceeding 0,1 % by weight"
27,2710203500-35-00,"With a sulphur content exceeding 0,1 % by weight but not exceeding 1 % by weight"
27,2710203900-39-00,With a sulphur content exceeding 1 % by weight
27,2710209000-90-00,Other oils
27,2710910000-00-00,"Containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)"
27,2710990000-00-00,Other
27,271111**00-**-00,Liquefied Natural Gas
27,2711110000-00-00,Natural gas
27,2711111000-10-00,Liquefied Natural Gas
27,271112**00-**-00,For use as a power or heating fuel
27,2711121*00-1*-00,For use as a power or heating fuel
27,2711121100-11-00,For use as a power or heating fuel
27,2711121900-19-00,For other purposes
27,2711129*00-9*-00,For undergoing a specific process
27,2711129100-91-00,For undergoing a specific process
27,2711129300-93-00,For undergoing chemical transformation by a process other than those specified in respect of subheading 27111291
27,2711129400-94-00,Of a purity exceeding 90 % but of less than 99 %
27,2711129700-97-00,Other
27,271113**00-**-00,For undergoing a specific process
27,2711131000-10-00,For undergoing a specific process
27,2711133000-30-00,For undergoing chemical transformation by a process other than those specified in respect of subheading 27111310
27,2711139*00-9*-00,Of a purity exceeding 90 % but of less than 95 %
27,2711139100-91-00,Of a purity exceeding 90 % but of less than 95 %
27,2711139700-97-00,Other
27,2711140000-00-00,"Ethylene, propylene, butylene and butadiene"
27,2711190000-00-00,Other
27,2711210000-00-00,Natural gas
27,2711290000-00-00,Other
27,271210**00-**-00,Crude
27,2712101000-10-00,Crude
27,2712109000-90-00,Other
27,271220**00-**-00,Synthetic paraffin wax of a molecular weight of 460 or more but not exceeding 1560
27,2712201000-10-00,Synthetic paraffin wax of a molecular weight of 460 or more but not exceeding 1560
27,2712209000-90-00,Other
27,271290**00-**-00,Crude
27,2712901*00-1*-00,Crude
27,2712901100-11-00,Crude
27,2712901900-19-00,Other
27,2712903*00-3*-00,For undergoing a specific process
27,2712903100-31-00,For undergoing a specific process
27,2712903300-33-00,For undergoing chemical transformation by a process other than those specified in respect of subheading 27129031
27,2712903900-39-00,For other purposes
27,2712909*00-9*-00,Blend of 1-alkenes containing by weight 80 % or more of 1-alkenes of a chain-length of 24 carbon atoms or more but not exceeding 28 carbon atoms
27,2712909100-91-00,Blend of 1-alkenes containing by weight 80 % or more of 1-alkenes of a chain-length of 24 carbon atoms or more but not exceeding 28 carbon atoms
27,2712909900-99-00,Other
27,2713110000-00-00,Not calcined
27,2713120000-00-00,Calcined
27,2713200000-00-00,Petroleum bitumen
27,271390**00-**-00,For the manufacture of the products of heading 2803
27,2713901000-10-00,For the manufacture of the products of heading 2803
27,2713909000-90-00,Other
27,2714100000-00-00,Bituminous or oil-shale and tar sands
27,2714900000-00-00,Other
