chapter,code,description
02,0204300000-00-00,"Carcases and half-carcases of lamb, frozen"
02,0204410000-00-00,Carcases and half-carcases
02,020442**00-**-00,Short forequarters
02,0204421000-10-00,Short forequarters
02,0204423000-30-00,Chines and/or best ends
02,0204425000-50-00,Legs
02,0204429000-90-00,Other
02,020443**00-**-00,Of lamb
02,0204431000-10-00,Of lamb
02,0204439000-90-00,Other
02,020450**00-**-00,Carcases and half-carcases
02,0204501*00-1*-00,Carcases and half-carcases
02,0204501100-11-00,Carcases and half-carcases
02,0204501300-13-00,Short forequarters
02,0204501500-15-00,Chines and/or best ends
02,0204501900-19-00,Legs
02,0204503*00-3*-00,Cuts with bone in
02,0204503100-31-00,Cuts with bone in
02,0204503900-39-00,Boneless cuts
02,0204505*00-5*-00,Carcases and half-carcases
02,0204505100-51-00,Carcases and half-carcases
02,0204505300-53-00,Short forequarters
02,0204505500-55-00,Chines and/or best ends
02,0204505900-59-00,Legs
02,0204507*00-7*-00,Cuts with bone in
02,0204507100-71-00,Cuts with bone in
02,0204507900-79-00,Boneless cuts
02,020500**00-**-00,Fresh or chilled
02,0205002000-20-00,Fresh or chilled
02,0205008000-80-00,Frozen
02,020610**00-**-00,For the manufacture of pharmaceutical products
02,0206101000-10-00,For the manufacture of pharmaceutical products
02,0206109*00-9*-00,Thick skirt and thin skirt
02,0206109500-95-00,Thick skirt and thin skirt
02,0206109800-98-00,Other
02,0206210000-00-00,Tongues
02,0206220000-00-00,Livers
02,020629**00-**-00,For the manufacture of pharmaceutical products
02,0206291000-10-00,For the manufacture of pharmaceutical products
02,0206299*00-9*-00,Thick skirt and thin skirt
02,0206299100-91-00,Thick skirt and thin skirt
02,0206299900-99-00,Other
02,0206300000-00-00,"Of swine, fresh or chilled"
02,0206410000-00-00,Livers
02,0206490000-00-00,Other
02,020680**00-**-00,For the manufacture of pharmaceutical products
02,0206801000-10-00,For the manufacture of pharmaceutical products
02,0206809*00-9*-00,"Of horses, asses, mules and hinnies"
02,0206809100-91-00,"Of horses, asses, mules and hinnies"
02,0206809900-99-00,Of sheep and goats
02,020690**00-**-00,For the manufacture of pharmaceutical products
02,0206901000-10-00,For the manufacture of pharmaceutical products
02,0206909*00-9*-00,"Of horses, asses, mules and hinnies"
02,0206909100-91-00,"Of horses, asses, mules and hinnies"
02,0206909900-99-00,Of sheep and goats
02,020711**00-**-00,"Plucked and gutted, with heads and feet, known as  83 % chickens"
02,0207111000-10-00,"Plucked and gutted, with heads and feet, known as  83 % chickens"
02,0207113000-30-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  70 % chickens"
02,0207119000-90-00,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as  65 % chickens , or otherwise presented"
02,020712**00-**-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  70 % chickens"
02,0207121000-10-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  70 % chickens"
02,0207129000-90-00,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as  65 % chickens , or otherwise presented"
02,020713**00-**-00,Boneless
02,0207131000-10-00,Boneless
02,0207132000-20-00,Halves or quarters
02,0207133000-30-00,"Whole wings, with or without tips"
02,0207134000-40-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207135000-50-00,Breasts and cuts thereof
02,0207136000-60-00,Legs and cuts thereof
02,0207137000-70-00,Other
02,0207139*00-9*-00,Livers
02,0207139100-91-00,Livers
02,0207139900-99-00,Other
02,020714**00-**-00,Boneless
02,0207141000-10-00,Boneless
02,0207142000-20-00,Halves or quarters
02,0207143000-30-00,"Whole wings, with or without tips"
02,0207144000-40-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207145000-50-00,Breasts and cuts thereof
02,0207146000-60-00,Legs and cuts thereof
02,0207147000-70-00,Other
02,0207149*00-9*-00,Livers
02,0207149100-91-00,Livers
02,0207149900-99-00,Other
02,020724**00-**-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  80 % turkeys"
02,0207241000-10-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  80 % turkeys"
02,0207249000-90-00,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as  73 % turkeys , or otherwise presented"
02,020725**00-**-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  80 % turkeys"
02,0207251000-10-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  80 % turkeys"
02,0207259000-90-00,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as  73 % turkeys , or otherwise presented"
02,020726**00-**-00,Boneless
02,0207261000-10-00,Boneless
02,0207262000-20-00,Halves or quarters
02,0207263000-30-00,"Whole wings, with or without tips"
02,0207264000-40-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207265000-50-00,Breasts and cuts thereof
02,0207266000-60-00,Drumsticks and cuts of drumsticks
02,0207267000-70-00,Other
02,0207268000-80-00,Other
02,0207269*00-9*-00,Livers
02,0207269100-91-00,Livers
02,0207269900-99-00,Other
02,020727**00-**-00,Boneless
02,0207271000-10-00,Boneless
02,0207272000-20-00,Halves or quarters
02,0207273000-30-00,"Whole wings, with or without tips"
02,0207274000-40-00,"Backs, necks, backs with necks attached, rumps and wing-tips"
02,0207275000-50-00,Breasts and cuts thereof
02,0207276000-60-00,Drumsticks and cuts thereof
02,0207277000-70-00,Other
02,0207278000-80-00,Other
02,0207279*00-9*-00,Livers
02,0207279100-91-00,Livers
02,0207279900-99-00,Other
02,020741**00-**-00,"Plucked, bled, gutted but not drawn, with heads and feet, known as  85 % ducks"
02,0207412000-20-00,"Plucked, bled, gutted but not drawn, with heads and feet, known as  85 % ducks"
02,0207413000-30-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  70 % ducks"
02,0207418000-80-00,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as  63 % ducks , or otherwise presented"
02,020742**00-**-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  70 % ducks"
02,0207423000-30-00,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as  70 % ducks"
02,0207428000-80-00,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as  63 % ducks , or otherwise presented"
02,0207430000-00-00,"Fatty livers, fresh or chilled"
